SMITH,1,2442977,828.19,828.19,70.9,23.11,0.5,0.89,2.19,2.4
JOHNSON,2,1932812,655.24,1483.42,58.97,34.63,0.54,0.94,2.56,2.36
WILLIAMS,3,1625252,550.97,2034.39,45.75,47.68,0.46,0.82,2.81,2.49
BROWN,4,1437026,487.16,2521.56,57.95,35.6,0.51,0.87,2.55,2.52
JONES,5,1425470,483.24,3004.8,55.19,38.48,0.44,1,2.61,2.29
GARCIA,6,1166120,395.32,3400.12,5.38,0.45,1.41,0.47,0.26,92.03
MILLER,7,1161437,393.74,3793.86,84.11,10.76,0.54,0.66,1.77,2.17
DAVIS,8,1116357,378.45,4172.31,62.2,31.6,0.49,0.82,2.45,2.44
RODRIGUEZ,9,1094924,371.19,4543.5,4.75,0.54,0.57,0.18,0.18,93.77
MARTINEZ,10,1060159,359.4,4902.9,5.28,0.49,0.6,0.51,0.22,92.91
HERNANDEZ,11,1043281,353.68,5256.58,3.79,0.36,0.6,0.19,0.16,94.89
LOPEZ,12,874523,296.47,5553.05,4.86,0.57,1.02,0.38,0.25,92.92
GONZALEZ,13,841025,285.11,5838.16,4.03,0.35,0.38,0.14,0.13,94.97
WILSON,14,801882,271.84,6110,67.36,25.99,0.6,1.06,2.38,2.61
ANDERSON,15,784404,265.92,6375.92,75.17,18.93,0.61,0.74,2.11,2.44
THOMAS,16,756142,256.34,6632.26,52.63,38.75,2.44,1.07,2.58,2.54
TAYLOR,17,751209,254.67,6886.93,65.38,28.42,0.56,0.76,2.41,2.46
MOORE,18,724374,245.57,7132.49,66.41,27.74,0.48,0.68,2.34,2.34
JACKSON,19,708099,240.05,7372.54,39.89,53.04,0.39,1.06,3.12,2.5
MARTIN,20,702625,238.19,7610.74,74.8,15.76,0.9,0.98,2.02,5.56
LEE,21,693023,234.94,7845.68,35.95,16.33,42.22,0.97,2.64,1.89
PEREZ,22,681645,231.08,8076.76,4.96,0.45,1.17,0.2,0.26,92.95
THOMPSON,23,664644,225.32,8302.08,69.78,23.57,0.57,1.22,2.37,2.49
WHITE,24,660491,223.91,8525.99,65.51,28.17,0.49,1.07,2.38,2.38
HARRIS,25,624252,211.63,8737.62,51.4,42.39,0.47,0.67,2.8,2.26
SANCHEZ,26,612752,207.73,8945.34,4.98,0.45,0.96,0.37,0.24,92.99
CLARK,27,562679,190.75,9136.1,74.65,19.02,0.54,1.01,2.19,2.58
RAMIREZ,28,557423,188.97,9325.07,3.89,0.31,0.93,0.2,0.19,94.48
LEWIS,29,531781,180.28,9505.34,58.23,34.84,0.56,1.2,2.58,2.58
ROBINSON,30,529821,179.61,9684.96,48.7,44.93,0.46,0.53,2.77,2.61
WALKER,31,523129,177.34,9862.3,58.66,35.05,0.45,0.87,2.55,2.41
YOUNG,32,484447,164.23,10026.53,66.26,24.67,3.03,0.79,2.66,2.58
ALLEN,33,482607,163.61,10190.14,67.59,26.17,0.54,0.86,2.38,2.47
KING,34,465422,157.78,10347.92,70.16,22.76,1.23,0.98,2.31,2.55
WRIGHT,35,458980,155.6,10503.52,65.8,28.23,0.51,0.69,2.41,2.36
SCOTT,36,439530,149,10652.52,60.21,32.92,0.51,1.18,2.59,2.58
TORRES,37,437813,148.42,10800.94,5.35,0.57,1.43,0.2,0.28,92.16
NGUYEN,38,437645,148.36,10949.31,0.95,0.12,96.45,0.03,1.83,0.63
HILL,39,434827,147.41,11096.72,64.36,29.12,0.53,0.97,2.51,2.51
FLORES,40,433969,147.12,11243.84,4.87,0.42,2.08,0.34,0.36,91.94
GREEN,41,430182,145.83,11389.67,56.84,36.97,0.44,0.64,2.47,2.64
ADAMS,42,427865,145.05,11534.72,74.02,19.9,0.56,0.79,2.16,2.57
NELSON,43,424958,144.06,11678.78,77.66,15.97,0.67,1.16,2,2.55
BAKER,44,419586,142.24,11821.03,79.83,14.44,0.56,0.87,2.02,2.28
HALL,45,407076,138,11959.03,72.65,21.59,0.64,0.65,2.22,2.25
RIVERA,46,391114,132.59,12091.62,5.4,0.95,2.04,0.18,0.37,91.06
CAMPBELL,47,386157,130.91,12222.53,73.66,20.47,0.53,0.71,2.13,2.49
MITCHELL,48,384486,130.34,12352.87,61.02,32.5,0.48,1.04,2.5,2.47
CARTER,49,376966,127.79,12480.66,58.2,35.59,0.45,0.78,2.65,2.34
ROBERTS,50,376774,127.73,12608.39,77.27,16.72,0.61,0.85,2.15,2.4
GOMEZ,51,365655,123.96,12732.35,5.12,0.75,1.01,0.26,0.26,92.6
PHILLIPS,52,360802,122.31,12854.67,76.69,17.09,0.58,1.03,2.17,2.44
EVANS,53,355593,120.55,12975.22,68.39,25.72,0.47,0.74,2.3,2.39
TURNER,54,348627,118.19,13093.4,64.25,30.13,0.42,0.6,2.38,2.23
DIAZ,55,347636,117.85,13211.25,5.19,0.65,1.19,0.16,0.25,92.56
PARKER,56,336221,113.98,13325.24,69.17,24.79,0.54,0.88,2.35,2.26
CRUZ,57,334201,113.3,13438.53,5.17,0.8,5.19,0.27,0.7,87.88
